company_name,round_date
Pankhuri,2021-05-17
GlowRoad,2017-07-24
The Souled Store,2018-11-26
DriveU,
Lazypay,2019-08-01
DailyObjects,2016-01-10
INDMoney,
GroMo,2022-09-06
Voonik,2015-05-14
GIVA Jewellery,2020-11-03
Battery Smart,2022-06-27
Vymo,
LetsVenture,2015-10-19
numberz,2017-07-19
Bulk MRO,2019-09-24
Ninety One,2021-12-22
1K Kirana Bazaar,2021-08-05
Vahdam Teas,2017-11-10
Industrybuying,2015-02-09
Hikersbay,None
Get My Parking,2017-09-12
Superbottoms,2021-01-15
Varthana,2014-08-11
Locus Robotics,2016-06-07
Spoonshot,2020-08-31
Phool,2022-01-31
Unocoin,2020-10-08
Rupifi,2022-01-06
Jai Kisan,2021-05-31
SafexPay,2021-03-30
Pharmarack,2019-06-10
Kenko,2022-02-14
Pureplay Skin Sciences,2018-11-30
Awign,2019-03-08
Bira 91,None
Zolo,2016-07-16
Axio Global,2018-10-01
Aknamed,2020-03-31
CoreStack,2020-03-16
Cytecare,2014-05-21
Recko,2020-04-02
Pathkind Labs,2022-05-20
NeoGrowth,2013-05-22
Breathe Well-Being,2021-08-24
SpotDraft,2022-01-08
Payswiff,2017-06-08
Finova Capital,2017-09-11
Faircent,2016-05-10
CrownIt,2015-05-18
Flickstree,2019-10-01
Auxilo,
Vokal,2018-07-19
Boodmo,2021-10-04
Klub,
Vidooly,2017-05-10
Lybrate,2015-07-08
Leap Scholar,2020-03-03
WebEngage,2020-01-10
Sheroes,2016-08-02
GoBOLT,2018-09-11
Mall91,2019-10-14
ORO Wealth,2018-05-21
ToneTag,2017-09-01
Ascent Health & Wellness Solutions,2016-03-31
Eekifoods,2022-04-11
FableStreet,2019-06-05
Appsmith,2021-10-05
Gourmet Garden,2021-06-14
THB,None
Applicate,None
MoneyOnClick,2021-06-18
Electronic Payment and Services,None
Zupee,2020-03-10
Ace Turtle Services,2017-05-08
SquadStack,None
Matterport,None
Scroll.in,None
Citrus Pay,2012-06-08
Stratasys,1990-12-31
Fitterfly,2022-07-20
Adani Wilmar,
Karbon,2018-06-18
Clove Dental,
Chakr Innovation,2019-04-24
Coverfox,2014-10-17
91Springboard,2017-01-25
Recykal,2022-01-11
Credenc,2021-07-19
Limeroad,2012-10-23
Wed Me Good,2019-04-02
NearBuy,2015-03-11
SMEcorner,2018-05-09
PandoLogic,
Lithium Urban Technologies,2018-04-30
Grab,None
SastaSundar,None
StockGro,2022-01-20
Altigreen,2015-12-28
Power2SME,2012-06-29
Freightwalla,2019-12-11
OMC Power,2013-12-11
Winuall,2022-01-27
Namaste Credit,2018-04-03
NowFloats,2014-05-23
Leixir,2014-08-07
Slurrp Farm,2020-12-04
HungerBox,2018-06-11
Awfis,2015-06-17
Skill Lync,2021-08-03
PickYourTrail,2018-09-07
Qyuki,2012-02-15
Chingari,2021-09-23
Probus Insurance,2021-12-07
Kings Learning,2017-08-28
AvantiLC,2014-12-05
Senseforth,2021-08-12
Kutumb,2021-06-20
Happilo,2021-02-01
Wishup,2021-05-26
Vahan,2021-09-14
Editorji,2018-09-14
SBFC,2017-09-27
Prozo,2022-03-02
Purple Style Labs,2018-05-04
Sleepy Owl,2021-11-12
FitCircle,2020-05-04
Cityfurnish,2019-06-06
Kaleidofin,2019-12-19
SleepyCat,2021-08-12
Eggoz Nutrition,2021-04-17
WeInvest,2018-05-24
Titan,
MyHealthcare,2018-07-31
Happay,2015-07-14
SmartCoin,2020-02-17
Access Healthcare,2013-08-08
Helpshift,2014-06-24
Anchanto,2014-05-06
Fittr,2021-09-23
Wealthy,2021-12-18
Veritas Finance,2016-03-28
Loop Health,2021-09-30
Cube Wealth,2016-09-01
Livguard,2017-10-17
Headfone,2020-12-08
BharatAgri,2021-09-02
FreshMenu,2014-12-08
Unbox Robotics,2021-12-22
OneAssist,2013-10-30
Ummeed Housing Finance,2016-10-17
Tork Motors,None
Pocketpills,None
Rocketium,2021-07-27
Rage Coffee,2021-08-04
Mosaic Wellness,2019-09-13
Hero Future Energies,
CashKaro,2015-11-03
Revolt Motors,
CHARGE+ZONE,2021-10-14
Worxogo,2018-10-16
FinBox,None
Procol,2020-04-13
Religare Health Insurance,
Oxfordcaps,2019-03-26
Fastfox,2017-04-05
Toffee,2019-12-18
Tricog,2016-07-18
Gyandhan,2020-02-25
Lifelong Online,2019-04-20
FloCareer,2021-10-13
Infinite Uptime,2018-06-12
Cure Skin,2022-03-07
Paytm Payments Bank,2017-09-06
Yaantra,2016-09-09
Stockal,2022-04-13
CredR,2015-09-03
TaxiForSure,2013-06-21
Instoried,2021-10-25
Avanse,2013-01-23
HomeCapital,2019-12-01
Good Dot,2021-07-27
ANAROCK,2017-05-29
TagBox,2019-05-09
Isthara,2019-06-25
SuperSplit,2017-06-13
Medfin,2020-11-12
Igenetic,2017-02-28
Unnati,2021-09-16
Aether,
Entero Healthcare,2018-08-01
Magenta Chargegrid,2021-05-20
Colive,2019-03-31
CrowdAnalytix,2019-01-11
Pepperfry,2011-12-12
Navia Life Care,2021-07-08
SnapBizz,2016-01-22
Scentials,2019-06-24
PivotRoots,2018-06-28
Hashnode,2021-08-18
Sim Sim,2019-11-14
Neeman's,2021-07-28
HealthAssure,2019-07-09
MediSage,2022-04-13
Synaptics,
Rays Power Infra,2017-03-31
MySmartPrice,2014-01-06
Sanfe,2021-05-24
MaxWholesale,2020-02-17
Workex,2019-02-02
Rtbrick,2018-10-23
Way2News,2022-06-09
FieldEZ,2014-01-15
Shiprocket 360,2014-09-27
CredRight,2021-09-18
Gnani.ai,None
Clover Ventures,2020-02-13
InnAccel,2017-01-30
Eruvaka Technologies,2013-10-03
Save Solutions,2017-09-19
BlueSemi,2021-10-27
Zumutor,2013-01-01
Addverb,2019-06-27
Haber,2019-01-01
Tookitaki,2019-03-17
