,KeyWord,Volume,Average pay per Click on Target,URL Taken
0,ebay motors,"823,000",1.27,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20motors&device=desktop
1,aaron judge,"823,000",0.42,https://www.semrush.com/analytics/phrase/?db=us&q=aaron%20judge&device=desktop
2,pura vida,"246,000",0.25,https://www.semrush.com/analytics/phrase/?db=us&q=pura%20vida&device=desktop
3,ebay usa,"246,000",0.35,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20usa&device=desktop
4,my ebay,"201,000",2.78,https://www.semrush.com/analytics/phrase/?db=us&q=my%20ebay&device=desktop
5,jk simmons,"165,000",0.72,https://www.semrush.com/analytics/phrase/?db=us&q=jk%20simmons&device=desktop
6,blue nile,"135,000",2.36,https://www.semrush.com/analytics/phrase/?db=us&q=blue%20nile&device=desktop
7,google pixel,"135,000",5.33,https://www.semrush.com/analytics/phrase/?db=us&q=google%20pixel&device=desktop
8,eb,"135,000",5.64,https://www.semrush.com/analytics/phrase/?db=us&q=eb&device=desktop
9,enay,"135,000",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=enay&device=desktop
10,shane co,"110,000",0.83,https://www.semrush.com/analytics/phrase/?db=us&q=shane%20co&device=desktop
11,evay,"110,000",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=evay&device=desktop
12,lapis lazuli,"110,000",0.00,https://www.semrush.com/analytics/phrase/?db=us&q=lapis%20lazuli&device=desktop
13,used books,"110,000",0.59,https://www.semrush.com/analytics/phrase/?db=us&q=used%20books&device=desktop
14,google fi,"368,000",82.62,https://www.semrush.com/analytics/phrase/?db=us&q=google%20fi&device=desktop
15,ebay store,"90,500",0.19,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20store&device=desktop
16,cartier love bracelet,"90,500",2.39,https://www.semrush.com/analytics/phrase/?db=us&q=cartier%20love%20bracelet&device=desktop
17,helzberg diamonds,"90,500",1.39,https://www.semrush.com/analytics/phrase/?db=us&q=helzberg%20diamonds&device=desktop
18,e bay,"90,500",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=e%20bay&device=desktop
19,used books,"90,500",0.53,https://www.semrush.com/analytics/phrase/?db=us&q=used%20books&device=desktop
20,cuban link chain,"90,500",1.09,https://www.semrush.com/analytics/phrase/?db=us&q=cuban%20link%20chain&device=desktop
21,tiffany,"301,000",12.77,https://www.semrush.com/analytics/phrase/?db=us&q=tiffany&device=desktop
22,helzberg,"74,000",1.39,https://www.semrush.com/analytics/phrase/?db=us&q=helzberg&device=desktop
23,gorjana,"74,000",1.55,https://www.semrush.com/analytics/phrase/?db=us&q=gorjana&device=desktop
24,rtx 3090,"74,000",0.38,https://www.semrush.com/analytics/phrase/?db=us&q=rtx%203090&device=desktop
25,pandora charms,"246,000",0.28,https://www.semrush.com/analytics/phrase/?db=us&q=pandora%20charms&device=desktop
26,eby,"60,500",10.00,https://www.semrush.com/analytics/phrase/?db=us&q=eby&device=desktop
27,eby,"60,500",10.00,https://www.semrush.com/analytics/phrase/?db=us&q=eby&device=desktop
28,jewelry box,"60,500",0.68,https://www.semrush.com/analytics/phrase/?db=us&q=jewelry%20box&device=desktop
29,lionel richie,"201,000",0.42,https://www.semrush.com/analytics/phrase/?db=us&q=lionel%20richie&device=desktop
30,bay,"49,500",4.39,https://www.semrush.com/analytics/phrase/?db=us&q=bay&device=desktop
31,bay,"49,500",4.39,https://www.semrush.com/analytics/phrase/?db=us&q=bay&device=desktop
32,google pixel 6a,"49,500",3.17,https://www.semrush.com/analytics/phrase/?db=us&q=google%20pixel%206a&device=desktop
33,used macbook pro,"49,500",1.43,https://www.semrush.com/analytics/phrase/?db=us&q=used%20macbook%20pro&device=desktop
34,ebaymotors,"49,500",1.27,https://www.semrush.com/analytics/phrase/?db=us&q=ebaymotors&device=desktop
35,ebaymotors,"49,500",1.27,https://www.semrush.com/analytics/phrase/?db=us&q=ebaymotors&device=desktop
36,cubic zirconia,"40,500",0.50,https://www.semrush.com/analytics/phrase/?db=us&q=cubic%20zirconia&device=desktop
37,pandora charm bracelet,"40,500",0.43,https://www.semrush.com/analytics/phrase/?db=us&q=pandora%20charm%20bracelet&device=desktop
38,ebay phone number,"40,500",0.89,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20phone%20number&device=desktop
39,ebay phone number,"40,500",0.53,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20phone%20number&device=desktop
40,jbl headphones,"40,500",0.25,https://www.semrush.com/analytics/phrase/?db=us&q=jbl%20headphones&device=desktop
41,full bed frame,"40,500",1.13,https://www.semrush.com/analytics/phrase/?db=us&q=full%20bed%20frame&device=desktop
