Company Name,Domain Name
Razorpay,razorpay.com
NoBroker,nobroker.in
PharmEasy,pharmeasy.in
Groww,groww.in
Rapido,rapido.bike
Zetwerk,zetwerk.com
DeHaat,agrevolution.in
Niyo,goniyo.com
Lenskart,lenskart.com
Netskope,netskope.com
Licious,licious.in
ShipRocket,shiprocket.in
Shadowfax,shadowfax.in
MyGlamm,myglamm.com
Swiggy,swiggy.com
Zepto,zeptonow.com
Boat Lifestyle,boat-lifestyle.com
Udaan,udaan.com
Moglix,moglix.com
cult.fit,cult.fit
Meesho,meesho.com
Khatabook,khatabook.com
ACKO,acko.com
WayCool,waycool.in
CRED,cred.club
FirstCry,firstcry.com
GoMechanic,gomechanic.in
Porter,porter.in
Turtlemint,turtlemint.com
OfBusiness,ofbusiness.com
ShareChat,sharechat.com
Whatfix,whatfix.com
Dunzo,dunzo.com
Urban Company,urbancompany.com
DealShare,dealshare.in
upGrad,upgrad.com
SUGAR Cosmetics,sugarcosmetics.com
Vedantu,vedantu.com
HealthifyMe,healthifyme.com
Cashify,cashify.in
Square Yards,squareyards.com
Unacademy,unacademy.com
Arzooo,arzooo.com
Mamaearth,mamaearth.in
Housing,housing.com
Lendingkart,lendingkart.com
Pepperfry,pepperfry.com
Mensa Brands,mensabrands.com
HealthKart,healthkart.com
LEAD School,leadschool.in
Ola,olacabs.com
FamPay,fampay.in
smallcase,smallcase.com
Pocket FM,pocketfm.com
MPL,mpl.live
Pratilipi,pratilipi.com
Apna,apna.co
OYO,oyorooms.com
Clear,cleartax.in
Ather Energy,atherenergy.com
Bizongo,bizongo.com
Healthians,healthians.com
M2P Fintech,m2pfintech.com
Rupeek,rupeek.com
Chalo,chalo.com
Zopper,zopper.com
BharatPe,bharatpe.com
Phable,phablecare.com
PhysicsWallah,pw.live
OneScore,onescore.app
Navi,navi.com
WinZO,winzogames.com
Glance,glance.com
Captain Fresh,captainfresh.in
Treebo Hotels,treebo.com
Yulu Bikes,yulu.bike
Chargebee,chargebee.com
KredX,kredx.com
Upstox,upstox.com
slice,sliceit.com
The Good Glamm Group,goodglamm.com
