,Date,Organic Traffic,Adwords Traffic
1,15-03-2015,74259040,1185063
2,15-04-2015,63615789,1480075
3,15-05-2015,75053563,1396879
4,15-06-2015,82042342,1468292
5,15-07-2015,82061323,1497976
6,15-08-2015,74143882,1942082
7,15-09-2015,73887661,3836465
8,15-10-2015,73661157,5139633
9,15-11-2015,73087850,5154034
10,15-12-2015,71193062,2448188
11,15-01-2016,70103902,3360094
12,15-02-2016,69812358,2734497
13,15-03-2016,69877683,3697506
14,15-04-2016,69143575,1917161
15,15-05-2016,70082580,1662433
16,15-06-2016,72342900,1587419
17,15-07-2016,72589570,1567372
18,15-08-2016,76675322,438698
19,15-09-2016,76880159,660923
20,15-10-2016,70343786,138079
21,15-11-2016,68195389,93552
22,15-12-2016,66653625,55757
23,15-01-2017,66474909,9280
24,15-02-2017,66111753,21727
25,15-03-2017,43279900,13734
26,15-04-2017,46195573,66513
27,15-05-2017,48987301,71556
28,15-06-2017,99655665,236156
29,15-07-2017,100812929,275258
30,15-08-2017,99739153,208551
31,15-09-2017,95483816,455439
32,15-10-2017,41002150,201299
33,15-11-2017,81686218,4069
34,15-12-2017,80923385,47081
35,15-01-2018,80304607,41389
36,15-02-2018,50960563,2167958
37,15-03-2018,110564238,28988
38,15-04-2018,110486110,0
39,15-05-2018,108927799,845
40,15-06-2018,108524999,1042
41,15-07-2018,107936417,0
42,15-08-2018,116135914,4
43,15-09-2018,131763513,0
44,15-10-2018,115242736,0
45,15-11-2018,112236295,0
46,15-12-2018,111086356,0
47,15-01-2019,110976373,0
48,15-02-2019,114886535,0
49,15-03-2019,114614918,0
50,15-04-2019,102064330,0
51,15-05-2019,104317256,0
52,15-06-2019,97827362,0
53,15-07-2019,92471990,1011
54,15-08-2019,86129215,73858
55,15-09-2019,78751167,256345
56,15-10-2019,79226521,333034
57,15-11-2019,74514876,106634
58,15-12-2019,86731103,115368
59,15-01-2020,83285086,107089
60,15-02-2020,85703604,65171
61,15-03-2020,86283441,342085
62,15-04-2020,86241644,259158
63,15-05-2020,89235269,505681
64,15-06-2020,91526600,330119
65,15-07-2020,94024879,2412411
66,15-08-2020,92674010,397227
67,15-09-2020,90784978,1093412
68,15-10-2020,98567838,630441
69,15-11-2020,99629726,2533167
70,15-12-2020,122391966,612101
71,15-01-2021,125358334,169551
72,15-02-2021,127935030,276486
73,15-03-2021,128263936,361752
74,15-04-2021,134773473,1869659
75,15-05-2021,137395548,187427
76,15-06-2021,138050888,205208
77,15-07-2021,126293663,37231
78,15-08-2021,128164835,88826
79,15-09-2021,118103850,159714
80,15-10-2021,115010271,157533
81,15-11-2021,107898611,119176
82,15-12-2021,103532791,121851
83,15-01-2022,104842649,132476
84,15-02-2022,111340273,33507
85,15-03-2022,110265545,58800
86,15-04-2022,103984454,56682
87,15-05-2022,101336499,36943
88,15-06-2022,121603131,42745
89,15-07-2022,96406423,33143
90,15-08-2022,95337269,78156
91,15-09-2022,93215561,110338
92,15-10-2022,89545239,85446
93,15-11-2022,87327182,98276
94,15-12-2022,83476763,112054
