,date,AdwordsTraffic,OrganicTraffic
1,15-01-2012,2926244,46415788
2,15-02-2012,2715327,45601806
3,15-03-2012,3137726,44709144
4,15-04-2012,2923251,43432028
5,15-05-2012,2648463,61996059
6,15-06-2012,2930595,61248493
7,15-07-2012,1316254,64462111
8,15-08-2012,87002,72987068
9,15-09-2012,2300982,66063387
10,15-10-2012,3310971,73022662
11,15-11-2012,3893586,45418667
12,15-12-2012,2006303,46940234
13,15-01-2013,803554,43483787
14,15-02-2013,58970,47319846
15,15-03-2013,1226267,51680866
16,15-04-2013,1150817,52882587
17,15-05-2013,892347,53699630
18,15-06-2013,1021649,63933776
19,15-07-2013,1228216,76102773
20,15-08-2013,1369921,75069236
21,15-09-2013,1689174,75952074
22,15-10-2013,1458065,75804507
23,15-11-2013,2132703,111604279
24,15-12-2013,4334764,129252979
25,15-01-2014,2571880,128813692
26,15-02-2014,2915579,131292833
27,15-03-2014,4191998,133244806
28,15-04-2014,2143278,134661182
29,15-05-2014,2401458,138950356
30,15-06-2014,6636442,73405234
31,15-07-2014,4855826,69851095
32,15-08-2014,2650050,77020209
33,15-09-2014,9500860,82504016
34,15-10-2014,3201379,101554488
35,15-11-2014,3624309,122709511
36,15-12-2014,1069406,96007098
37,15-01-2015,1678596,96699557
38,15-02-2015,3294887,93392367
39,15-03-2015,2629116,91962992
40,15-04-2015,2835343,87465571
41,15-05-2015,2994605,80111675
42,15-06-2015,3869632,87214708
43,15-07-2015,2578510,86715253
44,15-08-2015,2387928,88589665
45,15-09-2015,2662269,93554820
46,15-10-2015,2219345,94421887
47,15-11-2015,1962397,89913691
48,15-12-2015,1758868,102519850
49,15-01-2016,1964047,101200428
50,15-02-2016,1799255,101149036
51,15-03-2016,1703403,101511252
52,15-04-2016,1667124,102942801
53,15-05-2016,542624,105972202
54,15-06-2016,605760,109579380
55,15-07-2016,1734396,114071517
56,15-08-2016,556002,114386546
57,15-09-2016,1009320,113264755
58,15-10-2016,478233,110682951
59,15-11-2016,403451,109630708
60,15-12-2016,1532279,157309484
61,15-01-2017,1427162,160038701
62,15-02-2017,3561169,158822033
63,15-03-2017,9071021,162912106
64,15-04-2017,2243078,182873666
65,15-05-2017,2137081,182117621
66,15-06-2017,1616940,188738938
67,15-07-2017,1612712,179220663
68,15-08-2017,1668014,183751754
69,15-09-2017,5274500,174965911
70,15-10-2017,4079290,169770242
71,15-11-2017,3914309,171442313
72,15-12-2017,781894,162502439
73,15-01-2018,775472,166364215
74,15-02-2018,831644,180438894
75,15-03-2018,586353,163835331
76,15-04-2018,780737,164189714
77,15-05-2018,3109376,162321731
78,15-06-2018,3650597,162593786
79,15-07-2018,643353,159756167
80,15-08-2018,4508662,185490444
81,15-09-2018,3818734,148944765
82,15-10-2018,3453381,167686770
83,15-11-2018,5072134,165700850
84,15-12-2018,4487224,165626335
85,15-01-2019,1891395,167744003
86,15-02-2019,4714636,170703990
87,15-03-2019,8397894,157648876
88,15-04-2019,7494435,156597671
89,15-05-2019,4745553,153154681
90,15-06-2019,5217871,145310845
91,15-07-2019,7247528,150651492
92,15-08-2019,11635122,140224621
93,15-09-2019,16143324,132916692
94,15-10-2019,60367191,134115178
95,15-11-2019,30860577,135625290
96,15-12-2019,38963929,145695188
97,15-01-2020,31369384,140118112
98,15-02-2020,6119350,142814261
99,15-03-2020,11510058,144352610
100,15-04-2020,17739157,145280990
101,15-05-2020,14247389,147440833
102,15-06-2020,8878087,154520549
103,15-07-2020,26003767,159259118
104,15-08-2020,84661941,161810755
105,15-09-2020,161081774,162624436
106,15-10-2020,67643196,167877385
107,15-11-2020,60621249,168214966
108,15-12-2020,54859071,208967449
109,15-01-2021,36134321,213434014
110,15-02-2021,27397383,217237142
111,15-03-2021,13030890,217638669
112,15-04-2021,19161569,235230856
113,15-05-2021,24822357,235709373
114,15-06-2021,17499161,233076571
115,15-07-2021,3589024,213306014
116,15-08-2021,3880147,215056880
117,15-09-2021,3785711,199605640
118,15-10-2021,3101259,200367592
119,15-11-2021,5255475,181471761
120,15-12-2021,2946068,179916355
121,15-01-2022,3167373,187170598
122,15-02-2022,2488189,185871961
123,15-03-2022,1080418,173224431
124,15-04-2022,2410544,170629559
125,15-05-2022,3609189,168736700
126,15-06-2022,2647672,185047752
127,15-07-2022,2047499,175534250
128,15-08-2022,1619865,173745955
129,15-09-2022,3088027,170998857
130,15-10-2022,3318315,157347748
131,15-11-2022,3476527,152850623
132,15-12-2022,2352810,148473151
