,Date,Organic Traffic,Adwords Traffic
1,20150315,74259040,1185063
2,20150415,63615789,1480075
3,20150515,75053563,1396879
4,20150615,82042342,1468292
5,20150715,82061323,1497976
6,20150815,74143882,1942082
7,20150915,73887661,3836465
8,20151015,73661157,5139633
9,20151115,73087850,5154034
10,20151215,71193062,2448188
11,20160115,70103902,3360094
12,20160215,69812358,2734497
13,20160315,69877683,3697506
14,20160415,69143575,1917161
15,20160515,70082580,1662433
16,20160615,72342900,1587419
17,20160715,72589570,1567372
18,20160815,76675322,438698
19,20160915,76880159,660923
20,20161015,70343786,138079
21,20161115,68195389,93552
22,20161215,66653625,55757
23,20170115,66474909,9280
24,20170215,66111753,21727
25,20170315,43279900,13734
26,20170415,46195573,66513
27,20170515,48987301,71556
28,20170615,99655665,236156
29,20170715,100812929,275258
30,20170815,99739153,208551
31,20170915,95483816,455439
32,20171015,41002150,201299
33,20171115,81686218,4069
34,20171215,80923385,47081
35,20180115,80304607,41389
36,20180215,50960563,2167958
37,20180315,110564238,28988
38,20180415,110486110,0
39,20180515,108927799,845
40,20180615,108524999,1042
41,20180715,107936417,0
42,20180815,116135914,4
43,20180915,131763513,0
44,20181015,115242736,0
45,20181115,112236295,0
46,20181215,111086356,0
47,20190115,110976373,0
48,20190215,114886535,0
49,20190315,114614918,0
50,20190415,102064330,0
51,20190515,104317256,0
52,20190615,97827362,0
53,20190715,92471990,1011
54,20190815,86129215,73858
55,20190915,78751167,256345
56,20191015,79226521,333034
57,20191115,74514876,106634
58,20191215,86731103,115368
59,20200115,83285086,107089
60,20200215,85703604,65171
61,20200315,86283441,342085
62,20200415,86241644,259158
63,20200515,89235269,505681
64,20200615,91526600,330119
65,20200715,94024879,2412411
66,20200815,92674010,397227
67,20200915,90784978,1093412
68,20201015,98567838,630441
69,20201115,99629726,2533167
70,20201215,122391966,612101
71,20210115,125358334,169551
72,20210215,127935030,276486
73,20210315,128263936,361752
74,20210415,134773473,1869659
75,20210515,137395548,187427
76,20210615,138050888,205208
77,20210715,126293663,37231
78,20210815,128164835,88826
79,20210915,118103850,159714
80,20211015,115010271,157533
81,20211115,107898611,119176
82,20211215,103532791,121851
83,20220115,104842649,132476
84,20220215,111340273,33507
85,20220315,110265545,58800
86,20220415,103984454,56682
87,20220515,101336499,36943
88,20220615,121603131,42745
89,20220715,96406423,33143
90,20220815,95337269,78156
91,20220915,93215561,110338
92,20221015,89545239,85446
93,20221115,87327182,98276
94,20221215,83476763,112054
